,,
No,Nama Pengguna ,Comment
228,@ALYASHINTA.,Halah...kalah ya kalah gak usah cari2 alasan
229,@bodaychannel3552,Tuh artis yg komen kaga paham tinju kali ya😅
230,@user-pb7mp2us2q,Jadi keliatan ni para artis yg protes ke wasit otaknya kosong... Menang tampang tapi T-Lol
231,@tazatazol9469,"Teknik Jefri ambisius kayak mau tawuran aja, juri GK prnh salah udah kalah GK trima lagi"
232,@mr_baros,Juri lupa pakai kacamata jadi el menang poin
233,@alrawi3982,Juri gk objektif
234,@kmszaki2783,Yg bilang curang itu mereka enggak paham tentang tinju
235,@user-jj3ir1ir9o,"Saya tanya orang buta mana yg busa lihat tinju, apalg mngetahui siapa yg menang.
Terima aja keputusan juri."
236,@makinisham1251,"Yg paling masuk akal si cuma ini 5:28, apa lagi liat dindingnya tambah meyakinkan"
237,@faizalmohd2946,Para artis sok tahu pengadilnya yang lagi pakar Jefri Nicol takde gaya main tinju gaya taburan jalanan pelanggaran sebab tu point banyak kena tolak
238,@rajagebok,"Lawan azka baru tuh mantap.
Bisa bonyok si el rumi klo ga maen sabun."
239,@senaart9294,"Gua kata juga apa, beneran kan nikol dicurangi"
240,@TarakanTarakan-ec1kj,"Tau lah sudah kita kan.......gak usah di ungkap....
Cukup kita bully aja....SE indonesia"
241,@imammusafa5824,Iya lah tetep Jefri yg menang...
242,@bagussae633,"kl lum trima kekalahan,demo aja sambil lempar telur ...😅😅😅"
243,@syamsialatas6796,Biasa klw kalah ya gitu
244,@ags_spt5414,Tanding ulang. Tanpa pengaman muka bang...
245,@kontoy-hx5sv,marketing itu makin kontroversi makin cuan artis mah awoakwokw
246,@mhdozil9273,memang Jefri Nicol yg menang telak tapi ada yg curang dari pihak wasit dan juri 😂 wasit bodoh
247,@mhdozil9273,ya namaya anak pasti di bela lah 😂
248,@arifhidayat696,Itulah tinju yg menang bukan yg mendominasi tp yg bisa dpt point pukulan yg masuk
249,@tegarhaykhal05,"Gw setuju ama Abang yg baju merah tuhh, knpe di cut videonya🤬🤬🤪"
250,@RizqiBurhanudin-rd1bs,Bang Jefri yang harusnya menang itu soal. Walau bukan wasit juga kelihatan bang Jefri terus mojokin elrumi aneh bener bener2 GK adil
251,@RizqiBurhanudin-rd1bs,Saya setuju. Sama abidzar ada yang GK beres Ama putusan juri
252,@yudhilala8727,"Hanya pecundang sejati yg ga terima dngan kekalahan. . 
 Ngefans kok sama pecundang"
253,@AnjayMabar-vg6un,Seng gelot sopo seng sibuk sopo
254,@saktiawanferi1187,Biasa lah.... Wasit dapet angpau tambahan.... Makanya menang sono
255,@nurhayanihasibuan1362,"Harus ny wasit nya dari pemain tinju pro , bukan kalangan orang2 ngantuk 😂😂"
256,@andikotarigan4382,Yang kalah menyalahkan yang menang merayakan :”
257,@user-ue8tn5nx9q,Jurix sudah dikasih makan sma ahmad dani 😂
258,@dirmansu1365,Lawan kkjhe aja bro..lucu ..biasa artis blagu
259,@indahfakih9897,Lucu ya temen2 nya jefry😂😅
260,@suhesuherman7300,Asli nya jefri nicol yg menanh
261,@saefuldkcilacap4099,Betul jefry yg menang.juri temen2 dani
262,@sdn.243.palembangmaskarebe5,Rudi golden sok
263,@wayanknirwana6990,Tanding ulang sya nunggu nonton
264,@Fanta_Axl18,"Ini benar"" gak jelassss"
265,@limggaming8020,Yg protes emng kalah taruhan kayaknya 😂😂
266,@viewerreal3402,yg bener itu kata rudy golden boy & abidzar
267,@tqbussines8143,Kontent ga bermutu. Kalah ya kalah aja. Dek
268,@bobymashartoyo7046,Kekalahan slalu menyalahkan siapa yg menang..
269,@kg-tx7qd,Abizar ngerti apa lu bocah?
270,@kodriabdallah9424,Memang el rumi lah yg menang
271,@sakazhit9295,"Yealah si botakkk😀klo gak pakek pengaman muka,dari awal sudah nyungsep anak lu"
272,@user-qm5vx3xs7r,Jurine compong lihat nya Randa dowang ngga lihat...
273,@afiddedi127,Para teman2 jefri gak terima
274,@afiddedi127,Nggak ada uang masuk kejuri bos ....telusuri aja sekalian bawa kpk...usut kalo ada uang kejuri...kalo nggak ada loe berarti penganut dajjal raja fitnah keji
275,@BUDIYANTOYanto-eb2up,Tinju itu bukan hanya agresif memukul...tapi ada aspek lain yaitu pukulan yang masuk bukan hanya banyak memukul...kalau menurut saya pukulan El Rumi lebih banyak masuk
276,@teddyminato3081,"ku bukan penggemar keduanya .tapi ku sukak tinju dan MMA.stelah ku tonton kek nya yg menang jefri deh.makanya aku terkejut kok yg menang kebalik.pukulan jefri banyak yg masuk dan telak.ah ,bingung lah .mau nya kasi kan juri nya org luar negeri dari juri 1 ,2,3,4 dan juri di lapangan .baru jelas.siapa yg menang"
277,@Themadeaswin,"El rumi masih lebih baik drpda jeffri nicol, pukulan jeffri emang lebih bagus tapi banyakan zonknya, el rumi jab2nya menghasilkan byk point"
278,@tzrff8442,Jelas kalah jefri
279,@bihannakal5038,Setuju sih harusnya jefri yg menang
280,@bulangbiring7589,"Namanya juga negara konoha, jurinya sama aja sama koruptor.... 

😂😂😂"
281,@Allah_is_near,"Haaaahhhh udah... Lah... Mohon maaf kalo ada Aa Raffi mah yang dicari pasti yang prospektif lebih besar untuk jadi juara... Ngerti kan... Maaf ya.. aku pribadi gak benci sama aa Raffi... Tapi nama besar dan semua bisnis nya kayak udah ada yang setting..terasa dia tuh wayang... Gak tahu ya.. jadi ada motor motor penggerak dibelakang nya... Kayak sosok yang sengaja dibesarkan,, kalo di Hollywood kayak lady Gaga.. jujur mohon maaf dari pertandingan jelas Jefri juara nya... Tapi kan panitia ya yang lebih berhak bukan kita... Maaf 🙏🏻🙏🏻🙏🏻🙏🏻"
282,@ajirohimin7509,"Udh jelas lah Jefri yg menang bukan El 
Ini sih Jefri di curangi"
283,@rismawancikulak8752,Lawak udah jelas kalah masih ajah koar koar ..siapa tuh yg bilang orang buta jiga tau pemenangnya jeffri ...woy lu bilang ky gtu dama halnya meledek karna dimana2 orang buta gak bisa melihat ...emang kalo lg emosi keliatan bodohnya
284,@Pengaranghandal5521,"Fighternya bukan profesional boxer, acaranya juga. Caster nya tarkam, ngapain juga ngarep pake wasit yg adil. Toh isinya cman influencer, tujuannya cuan bukan yg lain"
285,@thebliq1661,Uang ahmad dani ga main2 bro wkwk.
286,@zunaidin,"Lawak lawak bikin malu😂,jelas pukulan jefrinicol banyak masuk malah kalah point😂😂"
287,@Taufikyoiii2,"Udah pasti di curangin karena el rumi anak ahmad dhani dia sudah banyak di kenal oleh masyarakat indonesia, ahmad dhani ngomong ke juri buat menangin el pasti di turutin karena dia terpandang oleh nama besarnya, ingat el rumi backup nya ahmad dhani dan mamahnya bahkan rafi juga mendukung el, kalau jefri nichol siapa yg backup"
288,@dimasadrianto417,klo headguard dilepas..dah k.o dr awal si el...
289,@user-qf6sm5my5b,wasit bayaran kompak ini gk adil
290,@Bryune,Sok tau. Padahal hanya amatir dan tau tarung di jalan aja. Juri lebih tahu bego. Sok sok ann
291,@rulinkgalink8748,Tanding ulang ajah... Biar feerrr....
292,@tarakamandaka9607,Seneng liat para juri amatir menilai dgn kedunguannya sndri😅
293,@fajartea8350,Kecewa juga gua liat nya😢
294,@agungheru1000,Jujur saya kecewa  pendukung  El. Tp El  malah tidak mau mengakui k kalahannya. Bang Jefri  maaf   poin mu masuk tp ga d anggap  k cewa sama El
295,@user-uh9lt9wn6f,Ahmat dani tau apa ya tentang tinju ronde 1 dan 2 gk dihitung buat apa capek² di ronde 1 dan 2 kok gak langsung aja ronde 3 biasa itu biasa itu ronde 1 el itu udah ngantuk untung ada tali ring ronde ke 4 udah rubuh sampek wasitnya ngecek keadaan el rumi trus apanya yg biasa elus aja tuh kepala mu biar tambah kinclong
296,@ariantoalda1312,"Knpa el menang karna dari segi pukulan el lebih mengenai ketarget....

Sama gua yuk jefri...😂😂😂"
297,@user-he2je9ho4n,Tanding ulang gasss
298,@ramdhanirama9951,Jefri kuasai pertandingan 2 ronde
299,@SyaifBahri,Tinju kelas rongsokan di bahas
300,@anasnasihin8899,"yang menilai ini gak adil atau maen duit, bisa dipastikan adalah baru nonton tinju, ini bukan soal kekuatan tapi ini berapa pukulan yang masuk, mungkin orang awam ngeliatnya ell pukulannya ngawur gak ada power, tapi kenyataannya meskipun pukulan ell gak ada power tapi itu pukulan bersih dan masuk, enek gua liat artis pada bilang ini maen duit, inget bro lo itu publick figure alangkah baiknya kalo mau memberikan statement cari referensi dulu tentang boxing dan tonton ulang, malah keliatan bego artis artis"
301,@tvandroid,kalian team siapa JEFRI NICHOL atau EL RUMI
302,@bonyrezha6752,"Jefri lh.el brapa kali tumbang tu. itu poin mutlak
Jefri harus ny yg menang"
303,@panjijayasakti5535,"Gak ngerti soh itungan nya gimana.
Tapi menurut gw harusnya jefry sih yg menang."
304,@Exhale938,https://youtube.com/shorts/Ps-sy7Xc-oY?si=qdaGIpP76c4bkCut
305,@WAYMORENO250,"Yg menang merayakan, yg kalah menjelaskan 🗿
Jefri gg sih tpi el banyakan poin (pukulan masuk).."
306,@user-yf2gj3zs5y,Juara settingan hahahaaa
307,@user-xr5et9qm1b,di selamat kan wasit ketahuan
308,@oniimuhammad2284,Jelas banyak pukulan masuk dari jefri
309,@ardiansoegito9101,Tetep nicol yng menang
310,@oniimuhammad2284,Demi konten biar ada part 2
311,@donrio449,"Klo ga pake headgear El sdh roboh di ronde 2, power Jefri lumayan. Point bersih lbh bnyk El."
312,@nurbarokah4499,Pukulan nikol byak msookk kykkyaa...ysdh juri yg pya putusaannn
313,@ryanferdinand-yp2eu,yah pake pelindung kepla 😅
314,@ArmanSteven,Jefry nichol
315,@kurniasaputra4452,Jefri kalah orang dalam wkwk ketawan jelas bnnyak dia yg mukul dan masuk pukulan nya😅😅 😂😅
316,@jeppo2416,"Juri apaan tu, NGAKAK 😂"
317,@neorzaman88,Host nya pendukung nikol ga netral ahh ..ga seru😅
318,@DekiDarman,"Sebenernya poin menang jefri.. tpi sulit sii yg dilawan jefri anak mama yg tangguh jadi posis orang tua menentukan.
Tpi gw salut sama el"
319,@neorzaman88,Hrsnya lu netral jdi admin 😂
320,@davidwinata2952,Hahah pecundang 2 2nya...kya bocil berantem
321,@qurrhidayat6243,"Ini hanya sportainment... bikin orang penasaran, ada tanding ulang... makin cuan..."
322,@user-gt2os7if6r,Bukan kalah point atau stmina tapi takut imagenya ya tau lah
323,@mister-vq1vt,au au..kek cewe lu😅
324,@fadhlisaputra4772,"Ini show biz....si penyelenggara pastinya bakalam dapat cuan dengan rematch.   Cuma, penilaiian gw...si nichol lebih menguasai pukulan sih. Harusnya dia yang menang 👍🙏"
325,@denijanuar4835,Pukulan terakhir jepri ga keitung karena bel udh bunyi duluan
326,@RCYchannel09,kalo ga pake head guard si anak mami juga ud modar itu di ronde 1 dan 2 wkwk pantes aj ga berani kalo ga oake head guard 😂😂
327,@blackloyality6231,"Kalo di cari point , Jefri menang telak"
328,@dediakbar4270,Remacth pun jefri tetap kalah yakin gw..
329,@idegunners7321,"Dari awal sebelum tanding saya dukung el Rumi..

Dan setelah tanding saya malah dukung Jeffri Nicol..
Walaupun kalah..
Jefri seharusnya layak menang."
330,@damarraharjo9441,"El emang cerdas tau strategi tau menang jangkauan, Jefri mengandalkan power kalau sampai 6 ronde bahaya bisa KO dia duanya"
331,@user-sv2gw8yc4t,Kanya nya bakal adA pertandingan ulang
332,@iscoalonzo1427,EL main cerdas. Selamat EL🎉🎉🎉🎉🎉
333,@dikamuhammad647,"Jepri petinju apa itu gak jelas gaya nya , liat EL gaya petinju nya jelas  , kaya emak emak ngamuk gak di kasih uang jajan si jepri malu kalah lari 😂😂😂"
334,@adihermawan5650,Boleh dicek lagi vidionya....jepri memang banyak melesetnya tapi jepri lebih banyak pukulan masuknya ketimbang el yang pukul sekali-kali lalu jatuh....fix wasit buta....cek lagi vidionya jepri jauh lebih unggul
335,@idegunners7321,"Poin kemenangan ell rumi buat melangkah ke boxing selanjutnya...  dan ell rumi harus menentang yunus, petinju terbaik di indonesia,dunia bahkan dimuka bumi ini.. yunus petinju tiada tanding.. karna memiliki pukulan dan ajian tidur di ring.."
336,@RyanRAOfficial.,Jefri Nichol Vs El Rumi Ful Ada Di Ryan RA Official 🔥
337,@herlysantoso3737,hehe rumi dilawan
338,@novalwollez9090,Jefri di lawan
339,@user-fk5nz1tp9b,Ini MH accara terkontrol ini MH 😂😂 seharusnya eefri yg menang malah sitaik yg menang aduh juri berapa disogok Ahmad Dani sih😂😂
340,@rafiariansyah9840,"Kalo gue jd el mending gue ngaku kalah dari pada menang kaya gitu,, penonton kan gak buta"
341,@morrofficial_,Mau menang siapa aja juga gamasalah wong aku ga dapet apa2 dri mereka😂
342,@royputra4673,juri ya di sogok pake nasi bungkus dasar juri taik
343,@djong_javanesia1758,Jefri lain ya kasar gak banyak po in masuk
344,@user-rb1wo1us3n,Tarung bebas coba. Harusnya Jefri yg mng
345,@user-rb1wo1us3n,Tarung bebas coba lah.ktaker doi mah mas jef
346,@ryanyoung5319,Jefry the true winner
347,@agussupriatna5874,"Jelas pasti menang lh si El
Yang JD official Ny atlet semua😂😂😂😂"
348,@user-rb1wo1us3n,Tarung bebas coba lah.ktaker doi mah mas jef
349,@user-rb1wo1us3n,Tarung bebas coba lah.ktaker doi mah mas
350,@marwansyaref8993,"Gua gx dukung sispa2..
Tpi ini gx adil sih"
351,@2more.,el rumi loyo gitu ajg
352,@imamhadi5658,Awokawok kalah nih yeee😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
353,@user-rb1wo1us3n,Klo uang berbicara lain urusan cs
354,@isehnuryanto5273,"Sudah jelas jefri menang,,,,tpi juri,y ngantuk"
355,@penyutuman1506,Yang kalah menjelaskan😂
356,@Adroid3,UntuK Para FANS JEPRI YANG KOAR2 COBA cari referensi tentang point dalam boxing de 😭  DLM BOXING EMANG EL YG MENANG BERDASARKAN POINT 🥱 YA GA TAU KLO DUEL AMPE MOKAD 🤓
357,@erwinsiregar119,Yang  nantang  menjelaskan  yang  menang  ya  pasti  merayakan🤣  itu  azab sok  jago🤣
358,@ibnuUtomo212,"jujur aku jagoin nikhol karena el bukanlah superman dan dia juga bisa nangis

Tapi tetep Respect buat keduanya.."
359,@hendyadheeva666,"Yg dukung El Rumi ya Ahmad Dhani
Yg dukung Jefri kaum pelangi
Ya jelas kalah lah Jefri"
360,@UdinFatih-po2zn,"ini tinju bukan adu jotos jalanan, jadi d nilai point bukan mana yang kuat.respek god job el"
361,@edogurinyoy9289,Sebenerny JN tuh bisa menang klo saja JN bisa lebih sabar dan tidak nafsu saat meyerang..
362,@ibenx282,"Ngadu ayam di tangkap❌
Ngadu orang di bebaskan✅
Yang penting cuannnnnnn"
363,@pok4448,Dia nak ikut cellos punya cala main oo all in match peltama
364,@ekocahyanto6465,Ini sih sengaja dibuat menang el rumi biar ada tanding ulang sponsor nambah 😂
365,@AjiParekesit24,"Kebanyakan meluk jefri, kalau kaga bisa lebih ganas el rumi, teliti dan baca aturan, agar kaga gagal paham untuk poin oleh juri, el erumi top dan layak juara."
366,@SepuLoh-rc4wg,"JN pukulanya memang keras tp jarang yg kena, lebih banyak pukulanya EL yg masuk sih..."
367,@bagusepay8416,wasit nya ngantuk blm ngopiii kocak
368,@uwaiszaydhan9618,Lawan paris coba
369,@Rifqy-dx7xb,Jepri dongkol wkwkwkwk💩💩💩💩
370,@IsmailSaputra-dg3me,"Jelas bro ini memang El yang menang,Lo semua kalau pemain epep main epep jangan lihat tinju"
371,@MBSprintLovers,Kocak.......... semuanya tentang duit ini mahh
372,@maulanaabdulmajid5158,andai gak pake pelindung si El bakal kalah bro
373,@shollikhulnaim7130,Kebanyakan ngerangkul wkwkw
374,@dwisamuri5600,"Harusnya modelan gini da ga usah pake pelindung kepala, toh da sama2 masuknya semi pro udah"
375,@mhhawali3148,"Bayangkan wide hook ke lawan yang reach lebih jauh 😅. El rumi pantas menang, sering dodge, walau keliatannya jadi mundur terus, tapi membuat jepri terlalu banyak membuang poin. Asal mukul lawan petinju yang jelas jaga jarak, ya kena angin dong bos. Jatoh karena slip, apalagi hasil kena dorong enggak bakal jadi pengurangan poin. Malah yang dorong kena warning, that's a foul bruh 😊"
376,@ahmataryanto3655,El cuman manang di round terakhir njir
377,@epiccomeback2479,"Alhamdulillah berkat doa mami ngab El Rumi win, aamiin  !!!"
378,@smsoundsystem2047,Lucu si ko malah kebalik yang menangnya 😂
379,@alive1838,Hakim eek😂
380,@kalendrasaputra952,Banyak pelanggaran Jefri nichol yang ngurangin poinnya sendiri
381,@noob_1212,Mana yg katanya anak jalanan😂
382,@adamkosasih7108,Gw senang liat nya kedua nya penuh senyum...sama smaa puas...
383,@aidessaigepty4113,Terbukti indonesia kekurangan orang yang jujur 🤭🤫🤫
384,@dedy8248,Petinju dungu vs petinju cerdas 🤣🤣🤣
385,@hanyaseorangnetizen6147,"Si nikol terlalu ambisi menggebu2..el pake teknik,bisa tahan,,ronde2 terakhir ketika nikol habis tenaga el ngambil celah dstu."
386,@muksonimulyani8670,Harusnya el kalah ifu bos😊
387,@user-tn4eb8ld6r,"El Rumi jauh lebih cerdas, bisa mengendalikan hawa nafsunya."
388,@dinikhairunisa4397,Sekilit tau gak alias curang
389,@wongalidcover88,"Andai ronde ke 4 ada tambahan menit, jatuh tuh jefri😅"
390,@yunusnurjaman345,Emosi vs teknik
391,@campurgaming8448,"Pukulan telak jefri lebih banyak tapi kok kalah..
Klo sya lihat ini match seperti mayweather vs pacman"
392,@dikitri-vl2mj,Bandar judi semakin mentereng..
393,@PelangiGame-ok5ii,Wasit nya Curang
394,@AndriYansah-vq5nw,Ini mah kalah itu💵💹💵
395,@sroyersimon8485,Kemarin kalau Jefri tdk terima dan buat gerakan tambahan selesai sudah Jef lu di tonjok kkje 😂
396,@romyscr86adie4,Jefri kalah karna ngedorong...😅
397,@gusinyo07,klo pukul angin dihitung point gue yakin 100% jefri nicol menang
398,@user-ow1gk1pc5k,nikol ada mendorong
399,@user-wl4su1ev1p,Gini ni jadi nya kalo tinju pakai juri stand up komedy
400,@indrakusmanaziz2186,El menghindar mulu😂
401,@user-gw7xb8nb5q,"3:25:00
waktu prepare macth"
402,@rahmadsuryaaffandi5362,Dwiki lucu petinju takut kalah akhirnya kayak bocil kepala dipegang😂😂😂😂😂😂😂kan gobloknya minta ampun perutq sampai kram karena lucu😂😂😂😂😂😂
403,@raflysofficial842,"Kalau ngk pakai pelindung,elrumi TKO di ronde ke 2"
404,@sunda5094,Jefri harusnya winner....
405,@liasandiana5774,Apaan sih kkje sok penting😂
406,@ghostsoul176,"Diharapkan menjadi pesepakbola malah jadi petinju, mantap😂"
407,@user-zn4ne5md3m,Wah ayam Raffi Ahmad ko😅
408,@ulfam2742,Disini terlihat bahwa otak mengalahkan otot. Congrats El Rumi. Btw Jefri Nichol kaga ada tato di badannya 😂👍👍👍
409,@user-pw5io8rv3s,Yg hitung poin rangak
410,@betapoenyabetta1568,"I'm not an expert, correct me if I'm wrong..Buat gw bkn masalah missed punch or how many times u hit the target ( mo lu membabi buta smpe lu sempoyongan, but for me yg jatoh yg kalah 3:51:56 )"
411,@renistafinarti6593,Ayo rematch🎉🎉🎉
412,@taitungtatik5154,"sebenernya jefri lbh teger,,pukulan pun mantaf,,cuma kurang strategi,,sedang kan El,,badanya lembek pukulan pun terasa ngambang, tp pinter strategi,,jefri lbh byk bljr strategi pertahanan,,,"
413,@dikaselankker6721,Pukulan nikol kaya baru belajar g terarah
414,@apriliaikaintani97,"Kurang puas, gw berharap jefri ko,,,, paling enggak bonyok lah"
415,@syukurkim3490,Satu orang yg paling caper disitu menurut gua kkje belagak udah artis bgt 😂😂😂😂
416,@AkunDevil,apa kabar sama kkj yg caper ke el??
417,@SaraLeeJasmeen-ci2lo,yg item udh kalah menghindar mulu hrsnya yg menang itu yg samudra eeh mlh drow
418,@JimmyAlesana1000,Kalo dilanjut ronde nya Jefri bakalan kalah dah habis tenaga nya.. walau menang diawal menurut gw
419,@rizqewenk8340,Penasaran abang bertopi  yg teriak2 di kuping el ngomong apa ya🤔
420,@tahubulat5516,KKJ caper najis
421,@nurwanalestariaci-zy8el,"Wkwkwk, el lu ngapain mundur mulu"
422,@abdulchannel5237,"Strategi ring el rumi ok, jeffri terlalu memforsir tenaga diawal, maklum petarung jalanan bukan arena😂😂😂"
423,@Aaindraibrahim,https://youtu.be/LZQjAm_ScZU?si=ij65ywc02zafK0kU
424,@JesSastra,Jefri Nichol lebih baik tapi dia terlalu banyak mengeluarkan energi di awal itu kesalahannya
425,@vecolection9282,"GK peduli siapa yg kalah menang, hanya berharap 
El, tembak dong Fujian, jadian dong ma Fuji 🙏🏻"
426,@ahmadaidil3641,3:36:58
427,@user-cu2fl7yj3i,"Jefri cocok lah klo buat tarung jalanan,, maen tinju ko kyk preman gaya nonjok nya,, pantes lah kalah maen jelek,, pukulan jga bnyak yg mleset"
428,@user-gz8go8ur5m,"El Rumi pukulannya memang kureng, tapi reflex nya bagus 😅"
429,@user-ci4gr7zm5h,Nichol selalu pilihan gue mau menang mau kalah
430,@user-tn1tt8zt8b,memang susah menang kalo sama anak sultan mah 😂😂
431,@Betawi_lawon,El Rumi sampe bingung kalo dia emang pemenangnya 😂
432,@herikurniawan2543,Kak niki vs DP dong 😂😂
433,@m359_,"Hah payah lu jefri Nichol mending lo ngocok aja sana, banyak gaya dikit dikit main peluk mau tinju atau mau ngehomok sih anjng"
434,@jmaikeru,"komentatornya kasih panggung lawak aja, heran bgt sepanjang match kok lawaaaak mulu pertandingannya dijorin."
435,@ajifatakhilla-oz4sw,"Lucu kalian maen tinju jgn cuma ngandelin otot sama kekutan,jgn remehkan El Rumi lawak kalian, maen di tinju boxing itu ada 6 hukum,speed,jarak,power,reflek,juga uang yg banyak,dan yg paling berpangaruh,dalam permainan ini,org dalam pastinya😂"
436,@davidvicarneltor346,Kalo kalah jangkauan harusnya main double cover sama counter aja
437,@skyfalxd7818,gigi zahra patah
438,@fas6259,Untung ga nonton live nya
439,@fas6259,Untung ga nonton live nya
440,@AJOYBOY22,KELIATAN BANGET EL MEMANG MENANG
441,@eyfit_ss992,Poin nya tidak sesuai 😂 hakim juri pro ahmad dhani
442,@ugundatar-oy4qx,Coba dong lawan si billar pasti kalah si billar orang lembek gitu nga ada gagah² nya makanya lesty nga ijinin lakinya adu jotos karena lembek letoy
443,@tasyaalfira7902,Gw nonton ulang lagi. Keyaknya ada bagian nichol yg kepotong deh. Pas keluar dari ruangan mau ke ring tinju
444,@chadsshadows,Settingan ni mah keliatan
445,@flyingcockroach7813,ini live apa video?
446,@hallent2969,"dih, 3 ronde jefri menang loh hahahaha"
447,@yanianggraini4129,"3:53:07 masih ada 14 detik tapi udh di bell wkwkwk komentator juga bilang ""10 detik terakhir"" . Sirkus banget"
448,@nickolamard8653,"Byk yg blg Jefri byk mukulnya kok kalah point.,,,

tapi gini ges pukulan Jefri itu terlalu ngèbo jadi kesanya banyak mukul tp byk yg meleset cm kliatanya nyerang terus tp pointny dikit karena daya tangkis si EL jg bagus ..."
449,@ytespesiji6390,Jangan coba-coba main atau berharap menang di ring khusus satu ini klo duit kalian dikit😊
450,@bengkelsepedaminion9845,Netizen tukang maedo.😂
451,@bengkelsepedaminion9845,Apaan . Udah jelas jefri nikol pemenang versi saya
452,@smpnegeri2banjaran824,ANEH PERASAAN ZEPRI YANG PANTAS MENAG .....
453,@kelayangkampung2106,tinju di indonesia emng gt susah di ungkapkan
454,@RobyDine-ve6jz,"Jefri mengingat kan .kita sama mike tyson..
Yg ingin bikin ko lawan di ronde 1"
455,@herniagusti9024,JN km jg terbaik.... ❤
456,@syahrirmauluddin1001,Baru 4 ronde gimana pentinju profesional 12 ronde gak kebayang
457,@tistop.2102,Bagi yang belum tau ketika org mengeluarkan power memukul namun tidak kena (hanya memukul angin) itu sangat menguras stamina ketimbang jika mengenai sasaran
458,@user-xe6sw6of7m,Kkje yang paling sibuk😅🤣😂
459,@fendyrero4120,Wasit itu memberi hitungan bukan membantu bangunkan petinjux. Ini Sangat lucu.. 😂😂😂
460,@Riosubanzz,"Hal seperti ini kok sering terjadi ya di indonesia macam ada yg ganjil gtu di liat nya,lebih tepat nya berat sebelah🤫"
461,@TopikBaelah-vc8gv,Jefry nichol itu seharusnya menang.. soalnya bnyk masuk pukulannya
462,@satriatarkam3818,Asli berat sbelah ni wasit banyak pukulan jefri yang masuk 👊
463,@agussuhandi995,"Gw harap rondenya di banyakin.
Biar ada yg TKO,, setuju'kan guy😊😊"
464,@agussuhandi995,Remacth dengan ronde dibanyakin siapa yg pingsan
465,@muhammadrivan9583,Kayak setingan tunjuannya lemah
466,@TegarMhm,Loh kok menit menit jeffry keluar gada😢 gw cari tidak adapun 😒
467,@andriansyahmutty8054,1:33:19 Petinju ini bisa jadi idola wanita. Tapi untuk bersaing di kelas berat di Asia agak berat. Karena keliatannya dia tipe yang gak tahan pukul alias rahang kaca. Kalau dapat lawan kuat. Gw yakin bakalan tidur dia di atas ring
468,@paparockvrr2095,Harusnya seri ini.
469,@user-vq8yf4pj5n,Telingany El Rumi sakit dari tdi kkjhe teriak di telinganya si El rumi..😅😅
470,@ISRAEL_HORSE_PENISS,Apaansi kaje mepet2 elrumi mulu wkwk. Sampe lagi umumin penilaian siapa yg menang dia malah ganggu ngoceh2 wkwk. Sipaling menggurui bgt sama paris juga gitu menggurui paris latihan buat lawan yunus
471,@ridwansudirman1031,"Sama sama lemah di titik akhir 
Yang satu lemah karena terus memukul dan yang satu lemah karena terus di pukuli ...
El beberapa kali Tumbang sedangkan jef pertahanan tubuh lebih baik."
472,@ridwansudirman1031,Sama2 lemah di titik akhir yg satu karena memukul yg satu karena di pukuli el Sia2 menyimpan stamina karena musuh ga tumbang di menit akhir ... Yg ada ronde awal sampai sebelum ronde akhir di miliki oleh jef apalagi el sempat tumbang beberapa detik.
473,@ZulFS-cq4ik,sejak kecil el rumi sdh diajarin tinju .. beda lah el rumi lebih luwes di atas ring ..
474,@RMA789-jy8mk,"Buat petarung jalanan, Jefri dianggap menang. Tapi, jika sudut pandang sport, El pantas menang. Karena sport itu butuh taktik, bukan grabak grubuk ☝☝☝𝐑𝐌𝐀𝟕𝟖𝟗"
475,@RMA789-zf9nt,"𝐑𝐌𝐀𝟕𝟖𝟗 Buat petarung jalanan, Jefri dianggap menang. Tapi, jika sudut pandang sport, El pantas menang. Karena sport itu butuh taktik, bukan grabak grubuk"
476,@RMA789_BANJIR.CUAN..,"☝☝☝Kesalahan Jefri ini cuma satu, dia gegabah. Terlalu membabi buta di awal tanpa memikirkan stamina sampai akhir ronde. Pukulannya asal melayang tanpa ada poin yg masuk."
477,@ciamamangresing,"Kesalahan Jefri ini cuma satu, dia gegabah. Terlalu membabi buta di awal tanpa memikirkan stamina sampai akhir ronde. Pukulannya asal melayang tanpa ada poin yg masuk. @𝐑𝐌𝐀𝟕𝟖𝟗"
478,@Yassa---,"El-Rumi menang karena beberapa kali jago menghindar, dengan mundur kebelakang secepat kilat sebelum pukulan Jefri Nichol mendarat. El-Rumi juga jago bermain teknik taunting (mengejek lawan) supaya bikin lawan emosi.  @𝐑𝐌𝐀𝟕𝟖𝟗"
479,@dhittt-,"@𝐑𝐌𝐀𝟕𝟖𝟗
El-Rumi menang karena beberapa kali jago menghindar, dengan mundur kebelakang secepat kilat sebelum pukulan Jefri Nichol mendarat. El-Rumi juga jago bermain teknik taunting (mengejek lawan) supaya bikin lawan emosi. 

Disatu sisi, Jefri Nichol terlalu banyak memukul namun banyak yang miss, walaupun sekali pukulan kena itu bisa kuat berdamage, namun karena ada helm jadi kurang sakit. Selain itu Jefri kelelahan dan mudah terpancing emosi.

Selamat buat El-Rumi dan tetap semangat buat Jefri Nichol 💪🔥"
